@relation dataset

@attribute urban_degree {0, 1, 2}
@attribute house_rooms real
@attribute housing_tenure {0, 1, 2, 3}
@attribute family_members real
@attribute equivalent_income real
@attribute invoices_overdue {0, 1}
@attribute afford_holidays {0, 1}
@attribute afford_meal {0, 1}
@attribute afford_unexpected {0, 1}
@attribute have_phone {0, 1}
@attribute have_tv {0, 1}
@attribute have_computer {0, 1}
@attribute have_washer {0, 1}
@attribute have_car {0, 1}
@attribute have_shower {0, 1}
@attribute have_wc {0, 1}
@attribute problem_light {0, 1}
@attribute problem_noise {0, 1}
@attribute problem_pollution {0, 1}
@attribute problem_vandal {0, 1}
@attribute problem_leaks {0, 1}
@attribute afford_heating {0, 1}


@data
0,4.0,2,6.0,1124.12,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
0,4.0,2,5.0,9950.04,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0
0,5.0,2,2.0,10080.27,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1
0,5.0,3,6.0,2649.66,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0
1,4.0,0,1.0,18818.4,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,5.0,1,5.0,11931.18,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,6.0,0,2.0,10509.67,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
1,5.0,1,1.0,10703.5,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1
1,5.0,1,1.0,132.66,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
1,5.0,1,1.0,9664.97,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
1,6.0,1,5.0,17516.96,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
1,6.0,1,1.0,10778.6,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1
1,5.0,1,2.0,12586.33,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1
1,5.0,1,2.0,15303.2,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
1,6.0,1,2.0,5551.4,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,5.0,1,2.0,6113.2,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1
1,6.0,0,4.0,10936.62,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,6.0,0,4.0,11717.67,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,5.0,0,3.0,15762.63,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0
1,5.0,1,3.0,13317.65,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,6.0,0,4.0,12135.9,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,5.0,1,2.0,19122.07,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,6.0,0,4.0,10379.29,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,5.0,0,3.0,12750.56,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,4.0,1,1.0,0.0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0
1,6.0,2,5.0,7196.0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1
1,6.0,3,2.0,10775.6,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
1,5.0,1,2.0,8254.4,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
2,6.0,1,2.0,42084.13,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
2,5.0,1,1.0,12084.58,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
2,5.0,1,2.0,22370.2,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
2,6.0,1,1.0,10684.0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1
2,5.0,2,6.0,5444.61,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
2,5.0,1,2.0,17393.73,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
2,5.0,0,4.0,26578.08,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,6.0,1,6.0,30229.42,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,6.0,3,4.0,11312.16,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,6.0,1,3.0,27235.1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
1,6.0,1,3.0,28322.85,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
1,6.0,1,1.0,40166.0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
1,5.0,0,4.0,5937.43,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,5.0,3,3.0,10379.83,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,5.0,1,3.0,10765.06,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
1,6.0,1,3.0,15151.95,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,4.0,1,1.0,8966.1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1
1,4.0,2,1.0,11788.3,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1
1,6.0,1,3.0,24250.1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
1,6.0,1,3.0,11560.89,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,4.0,0,1.0,34995.5,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,3.0,1,1.0,8947.2,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1
1,4.0,2,3.0,6962.25,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1
1,6.0,1,4.0,6365.52,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,4.0,0,1.0,19145.3,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,6.0,1,1.0,11555.5,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
1,4.0,1,3.0,16245.2,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0
1,5.0,0,4.0,7743.44,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
1,6.0,1,1.0,12436.3,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
1,5.0,1,4.0,4813.95,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,5.0,1,2.0,14988.79,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
1,4.0,1,2.0,7860.2,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
1,6.0,1,1.0,7867.4,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1
1,5.0,2,2.0,6030.4,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1
1,4.0,2,5.0,11952.3,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
1,4.0,1,3.0,9753.25,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1
1,5.0,1,3.0,7489.7,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
0,5.0,1,3.0,7508.78,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
